© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 1953 nach kreisfreien Städten und Landkreisen – Zweitstimmen –;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Land;Lfd. Nr.;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;F.D.P.;CSU;GB/BHE;BP;DP;DRP;Zentrum;GVP;KPD;DNS;SSW
03;052;Fallingbostel;44016;39330;1383;37947;9281;9413;1362;0;6724;0;8621;2088;0;198;260;0;0
03;053;Gifhorn;75017;67597;2359;65238;16635;11861;1810;0;13502;0;19432;1484;0;198;316;0;0
03;054;Harburg;76345;67675;2270;65405;17256;15750;2680;0;7492;0;18525;2752;0;359;591;0;0
03;055;Lüchow-Dannenberg;43282;38612;941;37671;12262;7133;1287;0;7177;0;8255;1247;0;114;196;0;0
03;056;Lüneburg;39175;34769;1073;33696;7622;7424;1224;0;5875;0;8466;2791;0;92;202;0;0
03;057;Soltau;38513;34129;1019;33110;9028;6094;549;0;5535;0;9892;1695;0;124;193;0;0
03;058;Uelzen;71006;64737;1480;63257;19512;15350;4228;0;10120;0;11476;2033;0;194;344;0;0
03;059;Cuxhaven, Stadt;31965;26115;886;25229;8099;8719;3132;0;1447;0;2404;681;0;381;366;0;0
03;060;Bremervörde;46550;41295;1231;40064;5903;7867;841;0;5369;0;18524;1186;0;219;155;0;0
03;061;Land Hadeln;44920;38926;1516;37410;9493;10602;1563;0;4595;0;9724;990;0;162;281;0;0
03;062;Osterholz;44039;38412;1409;37003;9878;10853;443;0;5312;0;7956;1504;0;470;587;0;0
03;063;Rotenburg (Hannover);35435;31672;1086;30586;7880;7102;830;0;3400;0;8701;2452;0;120;101;0;0
03;064;Stade;89031;77887;2975;74912;15972;22404;2702;0;9052;0;21992;1762;0;476;552;0;0
03;065;Verden;54440;48006;1606;46400;15331;14062;941;0;5388;0;8434;1689;0;244;311;0;0
03;066;Wesermünde;49581;43595;1698;41897;7721;10330;1351;0;5830;0;14881;1175;0;226;383;0;0
03;067;Osnabrück, Stadt;84076;73054;1718;71336;33438;20886;5239;0;3343;0;5914;972;0;639;905;0;0
03;068;Aschendorf-Hümmling;39196;36123;771;35352;29800;3034;247;0;1621;0;271;224;0;35;120;0;0
03;069;Bersenbrück;54210;49363;1071;48292;26140;12445;1773;0;4720;0;1743;1154;0;91;226;0;0
03;070;Grafschaft Bentheim;59356;49859;1559;48300;24858;9648;3612;0;3089;0;2037;2484;0;2061;511;0;0
03;071;Lingen;39247;36817;635;36182;27654;4855;762;0;2067;0;343;202;0;178;121;0;0
03;072;Melle;27971;25073;622;24451;9806;6597;898;0;3123;0;2942;787;0;167;131;0;0
