© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 1969 nach kreisfreien Städten und Landkreisen – Zweitstimmen –;;;;;;;;;;;;;
;;;;;;;;;;;;;
Land;Lfd. Nr.;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;F.D.P.;NPD;ADF;Sonstige
08;291;Leonberg;77958;67825;972;66853;27488;31129;0;5186;2577;308;165
08;292;Ludwigsburg;182345;157208;3153;154055;63552;65928;0;15038;8441;739;357
08;293;Mergentheim;27584;23522;554;22968;4883;13808;0;2225;1967;50;35
08;294;Nürtingen;96590;82840;1594;81246;30055;39940;0;5592;4880;615;164
08;295;Öhringen;30417;24802;593;24209;7316;11405;0;2988;2378;69;53
08;296;Schwäbisch Gmünd;70481;60140;1380;58760;19373;33124;0;3943;1968;153;199
08;297;Schwäbisch Hall;40193;33276;766;32510;10231;15226;0;4496;2396;61;100
08;298;Ulm;58612;50577;1660;48917;14366;29006;0;2841;2486;148;70
08;299;Vaihingen;54571;45869;897;44972;17140;20820;0;4203;2576;139;94
08;300;Waiblingen;147829;126750;1954;124796;50854;54315;0;13463;5310;567;287
08;301;Heidelberg, Stadt;81063;67165;1004;66161;27118;28829;0;5440;4159;471;144
08;302;Karlsruhe, Stadt;175469;143185;2285;140900;59266;62460;0;9714;8129;718;613
08;303;Mannheim, Universitätsstadt;217874;179405;2772;176633;87431;68021;0;9860;8572;2424;325
08;304;Pforzheim, Stadt;59492;50235;875;49360;20096;22868;0;3620;2387;269;120
08;305;Bruchsal;85190;74682;2813;71869;22502;43370;0;2360;3264;198;175
08;306;Buchen;42575;36486;959;35527;7162;24842;0;1548;1873;49;53
08;307;Heidelberg;111779;98429;2442;95987;35020;49369;0;6176;4860;360;202
08;308;Karlsruhe;125297;108659;3604;105055;37506;54893;0;6515;5493;387;261
08;309;Mannheim;123582;110209;2682;107527;45921;48474;0;6518;5740;644;230
08;310;Mosbach;47536;40451;985;39466;13143;21419;0;2522;2221;72;89
08;311;Pforzheim;48281;41157;1423;39734;15737;19999;0;2011;1716;187;84
08;312;Sinsheim;55509;46577;1303;45274;14820;23462;0;3871;2893;113;115
08;313;Tauberbischofsheim;52362;45431;1104;44327;10898;28877;0;1860;2520;102;70
08;314;Baden-Baden, Stadt;27510;22902;310;22592;8189;11448;0;1829;946;104;76
08;315;Freiburg im Breisgau, Stadt;101365;84240;1128;83112;37984;34762;0;6504;2859;370;633
08;316;Bühl;56398;47684;1896;45788;9768;31433;0;2271;2102;107;107
08;317;Donaueschingen;44601;37681;1286;36395;11139;20043;0;3498;1438;136;141
08;318;Emmendingen;71484;60187;2041;58146;20930;30193;0;4288;2312;256;167
08;319;Freiburg;55494;46801;1489;45312;13714;25948;0;3644;1689;108;209
08;320;Hochschwarzwald;27516;23504;817;22687;5869;13598;0;2395;661;84;80
08;321;Kehl;37819;29616;1178;28438;9998;13820;0;2298;2123;135;64
08;322;Konstanz;115005;94713;1700;93013;33747;47472;0;7446;3368;649;331
08;323;Lahr;54518;45946;1693;44253;14434;24516;0;3396;1636;140;131
08;324;Lörrach;92919;76502;1776;74726;29356;35318;0;5478;3776;569;229
08;325;Müllheim;38373;31993;817;31176;9994;16729;0;2858;1380;78;137
08;326;Offenburg;69452;59903;2107;57796;17296;34403;0;3182;2533;217;165
08;327;Rastatt;89036;76324;2357;73967;24995;42351;0;3120;3076;270;155
08;328;Säckingen;43952;37762;976;36786;12095;21017;0;2087;1322;141;124
08;329;Stockach;31310;26210;837;25373;6498;15870;0;1982;856;102;65
08;330;Überlingen;44748;37351;754;36597;9690;21651;0;3402;1580;155;119
08;331;Villingen;57839;48873;1460;47413;16667;24671;0;3873;1761;132;309
08;332;Waldshut;42914;37072;1153;35919;10218;22005;0;2273;1120;188;115
08;333;Wolfach;35357;30216;980;29236;7754;18136;0;2000;1145;131;70
08;334;Balingen;71467;58929;909;58020;17810;33605;0;3579;2749;177;100
08;335;Biberach;68249;60078;1261;58817;12379;42376;0;2277;1585;95;105
08;336;Calw;85620;70552;1555;68997;25025;34438;0;6056;3040;264;174
08;337;Ehingen;29477;26402;465;25937;5422;18611;0;965;814;92;33
08;338;Freudenstadt;42111;33614;891;32723;11396;15198;0;4394;1404;123;208
08;339;Hechingen;35718;31025;711;30314;7536;20331;0;1264;1031;87;65
08;340;Horb;29662;25064;740;24324;6979;14480;0;1875;894;50;46
08;341;Münsingen;25634;22132;522;21610;4773;13509;0;2309;932;35;52
08;342;Ravensburg;73710;64236;1677;62559;16306;40961;0;2868;2053;231;140
08;343;Reutlingen;116003;100015;1662;98353;36693;48493;0;8128;4227;484;328
08;344;Rottweil;87367;74058;2249;71809;26070;37863;0;4793;2488;289;306
08;345;Saulgau;43552;38402;955;37447;7042;27892;0;1282;1098;70;63
08;346;Sigmaringen;32552;28240;611;27629;5573;19848;0;980;1037;63;128
08;347;Tettnang;54085;47109;1133;45976;14783;27006;0;2154;1733;148;152
08;348;Tübingen;83069;71210;1158;70052;26301;33618;0;6646;2970;342;175
08;349;Tuttlingen;57299;49680;1380;48300;15614;28222;0;2574;1531;278;81
08;350;Wangen;48736;43570;1526;42044;8614;30389;0;1526;1309;92;114
09;351;Bad Reichenhall, Stadt;9187;7955;121;7834;2476;0;4363;308;495;47;145
09;352;Freising, Stadt;19026;16321;192;16129;6060;0;8205;666;631;40;527
09;353;Ingolstadt, Stadt;47236;39537;509;39028;15993;0;19406;1195;1786;288;360
09;354;Landsberg a. Lech, Stadt;9141;7654;96;7558;2698;0;4072;278;401;16;93
09;355;München, Landeshauptstadt;826682;665592;6002;659590;321423;0;245008;43590;33051;5048;11470
09;356;Rosenheim, Stadt;25592;21389;358;21031;8089;0;10432;761;1078;116;555
09;357;Traunstein, Stadt;10279;8955;127;8828;2670;0;4722;537;688;42;169
09;358;Aichach;26574;23499;478;23021;4210;0;17312;448;766;62;223
09;359;Altötting;57641;50611;937;49674;12788;0;33054;935;2149;127;621
09;360;Bad Aibling;31749;26762;488;26274;8300;0;15095;856;1247;80;696
09;361;Bad Tölz;26216;22298;356;21942;6153;0;13311;912;1018;52;496
09;362;Berchtesgaden;26531;22178;347;21831;5395;0;13436;878;1718;68;336
09;363;Dachau;51140;44093;1307;42786;14941;0;23613;1240;2076;132;784
09;364;Ebersberg;46938;40304;714;39590;13967;0;20934;1667;1689;116;1217
09;365;Erding;45765;38405;624;37781;10008;0;22614;897;1261;82;2919
09;366;Freising;37118;31361;488;30873;8892;0;18543;941;1332;55;1110
09;367;Fürstenfeldbruck;76235;65583;829;64754;25463;0;31658;3320;3208;235;870
09;368;Garmisch-Partenkirchen;41148;34537;554;33983;8755;0;21430;1646;1361;106;685
09;369;Ingolstadt;34756;29849;819;29030;10136;0;16913;555;1053;218;155
09;370;Landsberg a. Lech;29911;24766;440;24326;6546;0;14975;795;1294;42;674
09;371;Laufen;37839;33011;647;32364;7511;0;21406;899;1962;81;505
09;372;Miesbach;49239;41276;519;40757;14213;0;21172;2037;1877;300;1158
09;373;Mühldorf a. Inn;47457;40819;904;39915;9789;0;26109;811;2312;72;822
09;374;München;97542;83954;786;83168;35017;0;36594;5981;4028;365;1183
09;375;Pfaffenhofen a.d. Ilm;36129;30379;776;29603;7795;0;19519;565;1413;62;249
09;376;Rosenheim;59610;50426;887;49539;13738;0;29335;1807;2211;209;2239
09;377;Schongau;27071;23628;346;23282;7284;0;14070;504;925;48;451
09;378;Schrobenhausen;19989;17320;316;17004;3692;0;12258;263;549;34;208
09;379;Starnberg;57389;48718;410;48308;18119;0;23001;3831;2311;153;893
09;380;Traunstein;62326;52902;754;52148;14484;0;30840;2089;3424;115;1196
09;381;Wasserburg a. Inn;32292;27621;522;27099;5296;0;18456;590;1193;48;1516
09;382;Weilheim i. OB;48934;41954;826;41128;15009;0;21834;1462;1617;270;936
09;383;Wolfratshausen;39588;33681;435;33246;11558;0;16856;1603;2277;80;872
09;384;Deggendorf, Stadt;12864;11238;200;11038;3275;0;6894;235;514;41;79
09;385;Landshut, Stadt;36914;32483;1004;31479;11161;0;17478;886;1507;106;341
09;386;Passau, Stadt;20792;17906;217;17689;4951;0;11161;402;997;51;127
09;387;Straubing, Stadt;25182;20513;267;20246;6342;0;11983;473;1070;88;290
09;388;Bogen;23792;19386;783;18603;3522;0;13499;333;718;30;501
09;389;Deggendorf;34784;28309;709;27600;6507;0;19186;417;1075;42;373
09;390;Dingolfing;23107;19728;478;19250;5157;0;12382;334;902;27;448
09;391;Eggenfelden;33251;28753;672;28081;5046;0;20717;392;1336;29;561
09;392;Grafenau;18713;15048;454;14594;4233;0;9517;202;517;17;108
09;393;Griesbach i. Rottal;28149;23783;786;22997;5324;0;15723;333;1301;22;294
09;394;Kelheim;36078;31337;789;30548;10366;0;17785;548;1452;56;341
09;395;Kötzting;22465;17012;696;16316;3902;0;10174;285;658;15;1282
09;396;Landau a.d. Isar;21087;18177;426;17751;4209;0;12057;304;881;42;258
09;397;Landshut;27266;23242;557;22685;5451;0;15202;474;1199;69;290
09;398;Mainburg;14110;12179;218;11961;2210;0;8777;205;569;9;191
09;399;Mallersdorf;20421;17577;474;17103;3605;0;12220;290;655;84;249
09;400;Passau;41567;34927;855;34072;9381;0;22086;535;1709;48;313
09;401;Pfarrkirchen;34444;28681;717;27964;5350;0;19210;566;1657;42;1139
09;402;Regen;29093;22468;696;21772;7251;0;12958;358;885;33;287
09;403;Rottenburg a.d. Laaber;14858;12395;379;12016;1989;0;9031;212;525;18;241
09;404;Straubing;19869;16907;404;16503;3279;0;11926;259;739;16;284
09;405;Viechtach;19808;14523;604;13919;3161;0;9598;244;461;30;425
09;406;Vilsbiburg;25174;21237;558;20679;4033;0;14630;415;915;16;670
09;407;Vilshofen;36475;30179;954;29225;6294;0;20793;432;1357;28;321
09;408;Wegscheid;15216;12593;356;12237;2116;0;9161;165;681;11;103
09;409;Wolfstein;26041;20452;574;19878;3379;0;14984;216;1045;16;238
09;410;Amberg, Stadt;27524;23821;313;23508;8480;0;12685;864;1174;105;200
09;411;Neumarkt i.d. OPf., Stadt;12509;10992;189;10803;3555;0;6264;377;466;27;114
09;412;Regensburg, Stadt;87253;73402;1120;72282;23947;0;41111;2126;4166;303;629
09;413;Schwandorf i. Bay., Stadt;10931;9830;197;9633;4194;0;4637;247;446;46;63
09;414;Weiden i.d. OPf., Stadt;29343;26229;444;25785;9906;0;13271;957;1385;121;145
09;415;Amberg;32007;29014;667;28347;7687;0;18563;609;1248;65;175
09;416;Beilngries;10546;9508;253;9255;1370;0;7238;178;364;22;83
09;417;Burglengenfeld;32002;29147;991;28156;12136;0;14057;401;1161;217;184
09;418;Cham;26487;21738;668;21070;4686;0;14264;389;1364;50;317
09;419;Eschenbach i.d. OPf.;22690;20420;514;19906;5975;0;12064;622;1059;27;159
09;420;Kemnath;14600;12919;419;12500;3251;0;8058;678;448;20;45
09;421;Nabburg;19807;17703;359;17344;3567;0;12492;355;756;27;147
09;422;Neumarkt i.d. OPf.;24420;21720;629;21091;3500;0;15763;439;1061;51;277
09;423;Neunburg vorm Wald;10952;9566;236;9330;1573;0;7125;131;384;10;107
09;424;Neustadt a.d. Waldnaab;36262;33123;844;32279;11691;0;17503;1331;1537;95;122
09;425;Oberviechtach;9956;8143;206;7937;1232;0;5959;173;456;11;106
09;426;Parsberg;23675;21185;726;20459;3788;0;15119;342;904;26;280
09;427;Regensburg;62355;54812;1564;53248;14934;0;33665;973;2977;142;557
09;428;Riedenburg;11358;10146;328;9818;1832;0;7364;164;347;17;94
09;429;Roding;20134;17255;528;16727;3185;0;12395;275;686;20;166
09;430;Sulzbach-Rosenberg;21879;18643;351;18292;6524;0;9206;1069;1313;66;114
09;431;Tirschenreuth;38223;35041;896;34145;10509;0;21317;870;1220;64;165
09;432;Vohenstrauß;16427;14201;443;13758;3768;0;8807;464;612;16;91
09;433;Waldmünchen;11095;9049;283;8766;1696;0;6345;159;455;12;99
09;434;Bamberg, Stadt;50022;42372;516;41856;14070;0;23470;1534;2217;129;436
09;435;Bayreuth, Stadt;44802;37803;438;37365;15981;0;15963;2006;3041;172;202
09;436;Coburg, Stadt;30297;26212;269;25943;11499;0;11110;1724;1322;120;168
09;437;Forchheim, Stadt;14573;12847;244;12603;4598;0;6814;436;579;35;141
09;438;Hof, Stadt;40189;33515;716;32799;15066;0;13768;1431;2115;283;136
09;439;Kulmbach, Stadt;16996;15125;221;14904;7371;0;5615;704;1087;90;37
09;440;Marktredwitz, Stadt;11325;9751;149;9602;4557;0;3975;441;490;63;76
09;441;Neustadt b. Coburg, Stadt;8699;7809;81;7728;3827;0;2985;379;431;92;14
09;442;Selb, Stadt;13398;11519;208;11311;5365;0;4801;384;574;137;50
09;443;Bamberg;57621;51536;1222;50314;12564;0;33822;946;2315;95;572
09;444;Bayreuth;33393;28697;645;28052;12119;0;12635;836;2052;103;307
09;445;Coburg;48452;43168;568;42600;20776;0;17190;1580;2736;99;219
09;446;Ebermannstadt;17786;15296;460;14836;2514;0;10453;468;1182;23;196
09;447;Forchheim;29075;25537;592;24945;5419;0;16961;539;1736;44;246
09;448;Höchstadt a.d. Aisch;31621;27465;598;26867;8349;0;16077;603;1645;57;136
09;449;Hof;23296;20159;434;19725;9107;0;8276;663;1479;144;56
09;450;Kronach;53839;48818;974;47844;20662;0;24248;1049;1629;105;151
09;451;Kulmbach;23605;19659;400;19259;7950;0;8730;680;1746;80;73
09;452;Lichtenfels;36454;32128;582;31546;10877;0;18192;866;1279;81;251
09;453;Münchberg;29224;25052;522;24530;11476;0;9903;1272;1643;146;90
09;454;Naila;25408;21089;459;20630;10347;0;8350;655;1083;132;63
09;455;Pegnitz;25084;21680;405;21275;5761;0;13240;659;1446;51;118
09;456;Rehau;20191;17939;414;17525;7607;0;8092;540;1081;147;58
09;457;Stadtsteinach;13692;11239;221;11018;3876;0;5894;308;852;26;62
09;458;Staffelstein;16890;14831;363;14468;2810;0;10282;324;946;17;89
09;459;Wunsiedel;39877;34182;666;33516;16137;0;13909;1295;1878;166;131
09;460;Ansbach, Stadt;21616;18392;245;18147;6970;0;8514;1179;1266;109;109
09;461;Eichstätt, Stadt;6403;5849;119;5730;1529;0;3778;164;206;11;42
09;462;Erlangen, Stadt;52092;44637;509;44128;20714;0;16531;3547;2809;268;259
09;463;Fürth, Stadt;67988;56419;938;55481;26667;0;21141;3054;3667;633;319
09;464;Nürnberg, Stadt;335534;281610;5565;276045;134304;0;101942;15517;19401;3533;1348
09;465;Rothenburg ob der Tauber, Stadt;8027;6898;145;6753;2592;0;3204;490;398;40;29
09;466;Schwabach, Stadt;17511;15186;212;14974;6014;0;6621;1013;1182;78;66
09;467;Weißenburg i. Bay, Stadt;9841;8681;108;8573;3324;0;4349;428;351;101;20
09;468;Ansbach;34511;29483;578;28905;6762;0;16811;1982;2936;95;319
09;469;Dinkelsbühl;23931;20954;364;20590;4535;0;13810;907;1213;54;71
09;470;Eichstätt;19543;17960;381;17579;3913;0;12710;241;579;62;74
09;471;Erlangen;24192;21150;366;20784;8772;0;9087;1175;1539;87;124
09;472;Feuchtwangen;23473;19720;287;19433;3491;0;13768;806;1265;42;61
09;473;Fürth;52573;46586;966;45620;19614;0;19266;2517;3666;332;225
09;474;Gunzenhausen;26425;22391;450;21941;4639;0;14532;1209;1460;44;57
09;475;Hersbruck;22498;18469;390;18079;6392;0;9066;682;1805;61;73
09;476;Hilpoltstein;21698;19390;392;18998;3476;0;14118;470;819;36;79
09;477;Lauf a.d. Pegnitz;36940;32484;537;31947;13633;0;14135;1487;2346;190;156
09;478;Neustadt a.d.Aisch;28143;23775;521;23254;6030;0;12987;1321;2777;76;63
09;479;Nürnberg;44711;38004;629;37375;15446;0;16357;2099;3010;267;196
09;480;Rothenburg ob der Tauber;12375;10331;256;10075;1293;0;6957;872;914;14;25
09;481;Scheinfeld;13601;11506;284;11222;2090;0;7327;543;1147;11;104
09;482;Schwabach;46729;41265;799;40466;15426;0;19399;2004;3253;207;177
09;483;Uffenheim;24975;20416;423;19993;4316;0;11391;2290;1878;65;53
09;484;Weißenburg i. Bay.;25287;21849;470;21379;5925;0;13348;698;1272;54;82
09;485;Aschaffenburg, Stadt;37849;32543;510;32033;12531;0;16290;1490;1415;110;197
09;486;Bad Kissingen, Stadt;9290;8356;99;8257;2540;0;4585;576;435;10;111
09;487;Kitzingen, Stadt;12240;10463;153;10310;4099;0;4800;593;731;29;58
09;488;Schweinfurt, Stadt;41272;36610;590;36020;16679;0;15678;1575;1621;207;260
09;489;Würzburg, Stadt;79758;69319;620;68699;25928;0;34826;3719;3402;454;370
09;490;Alzenau i. UFr.;33248;29882;812;29070;8917;0;18214;826;959;64;90
09;491;Aschaffenburg;51923;45356;1172;44184;17217;0;24124;1104;1423;127;189
09;492;Bad Kissingen;28875;25353;683;24670;5390;0;17671;618;804;48;139
09;493;Bad Neustadt a.d. Saale;23176;20835;447;20388;4451;0;14653;506;656;28;94
09;494;Brückenau;12109;10385;176;10209;2293;0;6847;406;602;15;46
09;495;Ebern;16405;14062;285;13777;3543;0;8175;843;1138;12;66
09;496;Gemünden a. Main;14231;12554;229;12325;3178;0;7975;549;544;33;46
09;497;Gerolzhofen;25522;22178;624;21554;3979;0;14888;661;1871;34;121
09;498;Hammelburg;17060;15320;303;15017;2963;0;10938;382;650;26;58
09;499;Haßfurt;29149;25476;616;24860;6811;0;16421;497;939;61;131
09;500;Hofheim i. UFr.;11999;10268;196;10072;2401;0;5982;765;876;18;30
09;501;Karlstadt;25945;23070;507;22563;5435;0;15480;530;951;45;122
09;502;Kitzingen;24293;20384;466;19918;5907;0;11094;1004;1816;33;64
09;503;Königshofen i. Grabfeld;11317;9633;205;9428;1772;0;6600;485;487;10;74
09;504;Lohr a. Main;22980;20079;415;19664;7093;0;10984;876;556;91;64
09;505;Marktheidenfeld;27722;23879;449;23430;6645;0;14781;898;962;38;106
09;506;Mellrichstadt;14824;13070;273;12797;3150;0;8452;367;741;18;69
09;507;Miltenberg;24432;21621;482;21139;6850;0;12751;763;638;28;109
09;508;Obernburg a. Main;40223;35341;792;34549;11315;0;20817;1020;1153;97;147
09;509;Ochsenfurt;22794;20621;350;20271;5549;0;12853;612;1138;56;63
09;510;Schweinfurt;43356;39040;962;38078;10292;0;24840;1008;1626;105;207
09;511;Würzburg;52209;46702;786;45916;18508;0;23671;1528;1816;242;151
09;512;Augsburg, Stadt;148996;124973;1528;123445;53624;0;56888;4528;6221;806;1378
09;513;Dillingen a.d. Donau, Stadt;7391;6490;93;6397;2015;0;3970;201;156;12;43
09;514;Günzburg, Stadt;7881;6868;110;6758;2635;0;3379;239;413;20;72
09;515;Kaufbeuren, Stadt;26207;22949;263;22686;7173;0;12388;1016;1773;147;189
09;516;Kempten (Allgäu), Stadt;31978;26475;335;26140;10166;0;12709;1626;1171;127;341
09;517;Lindau (Bodensee), Stadt;16919;14227;199;14028;5021;0;7335;862;641;52;117
09;518;Memmingen, Stadt;22182;19160;260;18900;7963;0;8814;1072;871;82;98
09;519;Neuburg a.d. Donau, Stadt;12134;10435;146;10289;3294;0;6133;293;393;56;120
09;520;Neu-Ulm, Stadt;17874;15661;200;15461;6781;0;6621;1075;817;75;92
09;521;Nördlingen, Stadt;9976;8593;117;8476;3472;0;4166;420;347;29;42
09;522;Augsburg;83402;72824;1102;71722;25574;0;38898;2458;3685;298;809
09;523;Dillingen a.d. Donau;33818;29081;646;28435;7810;0;18642;623;1107;39;214
09;524;Donauwörth;37875;32664;625;32039;8419;0;21014;842;1471;77;216
09;525;Friedberg;29309;25724;439;25285;7370;0;15968;571;1064;54;258
09;526;Füssen;24829;20446;274;20172;5700;0;12588;960;585;53;286
09;527;Günzburg;34343;29261;654;28607;8918;0;17148;777;1433;43;288
09;528;Illertissen;29358;25260;522;24738;7174;0;15709;627;950;102;176
09;529;Kaufbeuren;24473;20740;314;20426;4456;0;13879;609;1202;61;219
09;530;Kempten (Allgäu);37415;32144;519;31625;8483;0;19730;1892;1121;80;319
09;531;Krumbach (Schwaben);23171;19607;361;19246;3946;0;13677;553;860;36;174
09;532;Lindau (Bodensee);27983;24308;388;23920;6305;0;15506;1117;773;55;164
09;533;Marktoberdorf;27287;23809;463;23346;5267;0;15943;766;1101;45;224
09;534;Memmingen;33340;28822;592;28230;6040;0;19584;1102;1253;68;183
09;535;Mindelheim;35397;29350;615;28735;5504;0;19879;869;2089;66;328
09;536;Neuburg a.d. Donau;26693;22398;452;21946;4221;0;16119;455;850;48;253
09;537;Neu-Ulm;36998;32543;649;31894;11494;0;17641;1076;1404;92;187
09;538;Nördlingen;22954;19360;442;18918;3834;0;13202;1150;606;47;79
09;539;Schwabmünchen;33995;27976;513;27463;8067;0;16532;700;1808;84;272
09;540;Sonthofen;46860;39791;577;39214;11419;0;23829;1971;1440;121;434
09;541;Wertingen;21756;18574;426;18148;3939;0;12517;637;815;55;185
10;542;Saarbrücken, Stadt;88269;72905;1517;71388;31416;26417;0;7507;4971;645;432
10;543;Homburg;51669;46411;1356;45055;19508;19010;0;3111;2901;366;159
10;544;Merzig-Wadern;63267;57743;2015;55728;20021;29681;0;3073;2479;296;178
10;545;Ottweiler;113027;100888;2937;97951;41787;42603;0;5915;5600;1778;268
10;546;Saarbrücken;173104;153943;3520;150423;61755;64634;0;12037;9432;2057;508
10;547;Saarlouis;132377;119399;4333;115066;41927;59287;0;5933;5924;1459;536
10;548;Sankt Ingbert;52648;47461;1427;46034;17447;22920;0;2778;2249;450;190
10;549;Sankt Wendel;59735;55132;1892;53240;19624;28434;0;1900;2548;558;176
