© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 1969 nach kreisfreien Städten und Landkreisen – Zweitstimmen –;;;;;;;;;;;;;
;;;;;;;;;;;;;
Land;Lfd. Nr.;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;F.D.P.;NPD;ADF;Sonstige
03;071;Melle;27341;23962;388;23574;9057;11627;0;1800;962;52;76
03;072;Meppen;43332;39021;591;38430;7532;29075;0;799;854;51;119
03;073;Osnabrück;89775;81819;1143;80676;30649;44117;0;3327;2181;159;243
03;074;Wittlage;18854;16300;236;16064;6059;7635;0;1279;998;22;71
03;075;Emden, Stadt;32487;27344;355;26989;15322;8817;0;1595;908;285;62
03;076;Aurich (Ostfriesland);51001;40352;680;39672;17436;17584;0;2074;2103;327;148
03;077;Leer;88104;72655;1105;71550;31345;33311;0;2863;3680;191;160
03;078;Norden;53095;45673;998;44675;23521;16473;0;1826;2425;272;158
03;079;Wittmund;35419;27095;553;26542;9398;13163;0;2246;1569;68;98
03;080;Braunschweig, Stadt;167360;144172;1951;142221;73421;52979;0;9711;4362;1240;508
03;081;Goslar, Stadt;29743;26277;292;25985;11260;12371;0;1270;844;152;88
03;082;Salzgitter, Stadt;79488;69921;908;69013;34754;28989;0;2321;2103;523;323
03;083;Blankenburg;10441;9155;146;9009;4610;3694;0;407;250;34;14
03;084;Braunschweig;62187;56695;714;55981;25066;24512;0;3629;2370;220;184
03;085;Gandersheim;54076;49327;710;48617;24514;20097;0;1757;1985;151;113
03;086;Goslar;28106;25506;377;25129;12534;10843;0;777;746;118;111
03;087;Helmstedt;82761;73761;1120;72641;32316;34256;0;2771;2873;254;171
03;088;Wolfenbüttel;96671;86917;1180;85737;41116;36464;0;4578;2995;437;147
03;089;Delmenhorst, Stadt;43351;36477;520;35957;17506;14444;0;2025;1662;229;91
03;090;Oldenburg (Oldenburg), Stadt;92572;76448;892;75556;34501;29704;0;6488;4109;503;251
03;091;Wilhelmshaven, Stadt;72423;61504;785;60719;32448;22255;0;3047;2527;318;124
03;092;Ammerland;50586;41493;633;40860;13734;17934;0;5286;3729;92;85
03;093;Cloppenburg;60617;54481;1231;53250;9630;41057;0;1055;1328;104;76
03;094;Friesland;61175;51330;961;50369;22215;19854;0;4814;3212;174;100
03;095;Oldenburg (Oldenburg);53619;45653;648;45005;16406;20613;0;3881;3760;152;193
03;096;Vechta;49388;45456;854;44602;7821;35029;0;668;951;51;82
03;097;Wesermarsch;65335;55760;884;54876;25487;21715;0;4192;3124;239;119
04;098;Bremen, Stadt;422484;367866;4085;363781;188606;115644;0;35563;16175;5757;2036
04;099;Bremerhaven, Stadt;101626;84507;928;83579;44173;28778;0;5991;3548;778;311
05;100;Düsseldorf, Stadt;464101;391506;5411;386095;182388;156195;0;27869;13911;3836;1896
05;101;Duisburg, Stadt;316108;266683;2692;263991;149817;92028;0;11540;6934;2658;1014
05;102;Essen, Stadt;497830;422931;3808;419123;231705;152556;0;19826;9225;3789;2022
05;103;Krefeld, Stadt;155523;132501;1642;130859;59140;58094;0;8144;4293;745;443
05;104;Leverkusen, Stadt;69769;60296;631;59665;31124;22242;0;4041;1742;315;201
05;105;Mönchengladbach, Stadt;102203;84856;1242;83614;30622;46010;0;3697;2452;434;399
05;106;Mülheim an der Ruhr, Stadt;135212;116667;1306;115361;64909;38513;0;7765;2756;983;435
05;107;Neuss, Stadt;71320;61133;985;60148;23861;30339;0;3204;2222;297;225
05;108;Oberhausen, Stadt;167996;143884;1904;141980;76744;54970;0;5382;3438;861;585
05;109;Remscheid, Stadt;89786;76351;888;75463;36593;29159;0;5685;2235;1414;377
05;110;Rheydt, Stadt;67661;56229;1078;55151;22520;26831;0;3334;1653;495;318
05;111;Solingen, Stadt;122581;103950;1879;102071;48214;39384;0;8813;2768;2251;641
05;112;Viersen, Stadt;29611;25925;432;25493;9958;13484;0;1160;648;121;122
05;113;Wuppertal, Stadt;292876;248782;3171;245611;120666;94145;0;18831;7549;3007;1413
05;114;Dinslaken;87958;77073;1175;75898;43740;25626;0;3691;2212;464;165
05;115;Düsseldorf-Mettmann;249517;219355;2904;216451;102278;89451;0;14684;7071;1946;1021
05;116;Geldern;53383;48511;1017;47494;12460;32278;0;1589;893;88;186
05;117;Grevenbroich;143351;126445;2432;124013;48969;63543;0;6545;3665;461;830
05;118;Kempen-Krefeld;152884;135352;2526;132826;49327;71567;0;6830;4067;498;537
05;119;Kleve;63569;56704;1225;55479;17351;34048;0;2356;1412;111;201
05;120;Moers;224338;195902;2807;193095;103229;73023;0;8725;6375;1140;603
05;121;Rees;71828;63835;1142;62693;25349;30586;0;4817;1614;137;190
05;122;Rhein-Wupper-Kreis;153572;134696;1531;133165;60690;56881;0;9526;4126;1116;826
05;123;Bonn, Stadt;198724;171375;2033;169342;65981;83908;0;11926;5877;840;810
05;124;Köln, Stadt;574311;472325;5869;466456;242265;173658;0;32166;13345;3280;1742
05;125;Bergheim (Erft);76551;68222;1798;66424;32250;29325;0;2870;1589;229;161
05;126;Euskirchen;78362;68265;1199;67066;25790;34420;0;4332;2052;159;313
05;127;Köln;161075;142987;1800;141187;67449;59861;0;9297;3387;747;446
05;128;Oberbergischer Kreis;98279;85243;1104;84139;37214;35782;0;6865;3563;355;360
05;129;Rheinisch-Bergischer Kreis;168791;149048;1847;147201;63677;68600;0;9639;4142;643;500
05;130;Rhein-Sieg-Kreis;244445;212391;3473;208918;80529;109589;0;11329;5803;746;922
05;131;Aachen, Stadt;115983;98638;1052;97586;40817;47586;0;5266;2922;633;362
05;132;Aachen;181072;163709;2909;160800;69490;78421;0;7053;4122;1256;458
05;133;Düren;103038;90193;1696;88497;34608;47363;0;3642;2175;438;271
05;134;Erkelenz;59653;53575;944;52631;17691;30553;0;2305;1714;126;242
05;135;Jülich;48406;44506;799;43707;16794;23990;0;1671;957;110;185
05;136;Monschau;20087;18453;451;18002;4006;12359;0;1056;412;43;126
05;137;Schleiden;41701;37374;917;36457;8126;25145;0;1865;1058;79;184
05;138;Selfkantkreis Geilenkirchen-Heinsberg;83547;76451;1697;74754;21795;48441;0;2212;1872;245;189
05;139;Bocholt, Sadt;30611;27180;361;26819;11099;14311;0;737;424;93;155
05;140;Bottrop, Stadt;73210;64506;1061;63445;34774;24279;0;1870;1302;1015;205
05;141;Gelsenkirchen, Stadt;245067;208462;2517;205945;120512;69406;0;7082;5568;2454;923
05;142;Gladbeck, Stadt;56980;50466;750;49716;28305;17921;0;1613;1154;516;207
05;143;Münster (Westf.), Stadt;123924;110212;870;109342;46007;52001;0;7051;3224;349;710
05;144;Recklinghausen, Stadt;88046;77978;1043;76935;40714;29397;0;3599;2308;637;280
05;145;Ahaus;68794;63093;1183;61910;15731;42508;0;1817;1194;279;381
05;146;Beckum;103547;93424;1440;91984;36481;49465;0;2976;2106;641;315
05;147;Borken;55562;50941;871;50070;11509;35565;0;1467;1012;76;441
05;148;Coesfeld;56752;51920;815;51105;13931;33770;0;1650;924;147;683
05;149;Lüdinghausen;89123;81646;1368;80278;28899;46549;0;2301;1963;281;285
05;150;Münster;71364;65089;830;64259;20789;37856;0;2977;1423;99;1115
05;151;Recklinghausen;226102;202571;2710;199861;100399;84022;0;7188;5390;1666;1196
05;152;Steinfurt;111948;102133;1572;100561;33820;60434;0;3536;1861;201;709
05;153;Tecklenburg;84684;75388;1292;74096;29090;38028;0;4159;2332;143;344
05;154;Warendorf;42110;38868;634;38234;10143;25396;0;1505;752;78;360
05;155;Bielefeld, Stadt;121942;108458;1215;107243;53911;40177;0;7640;4425;687;403
05;156;Bielefeld;99469;90481;1390;89091;45767;33799;0;5633;3201;413;278
05;157;Büren;37941;34335;692;33643;8094;23237;0;849;1113;40;310
05;158;Detmold;103585;92421;1416;91005;44108;33007;0;8137;5055;322;376
05;159;Halle (Westf.);44352;39301;651;38650;17006;16184;0;2956;2330;76;98
05;160;Herford;161389;142871;2751;140120;73257;52112;0;7434;6365;602;350
05;161;Höxter;65421;58485;742;57743;16265;37109;0;2067;1798;116;388
05;162;Lemgo;105695;93192;1387;91805;44882;33623;0;7490;4991;334;485
05;163;Lübbecke;61235;52698;1135;51563;21755;22465;0;3378;3710;150;105
05;164;Minden;139084;121259;1940;119319;58668;44921;0;9669;5200;577;284
05;165;Paderborn;91750;81375;1445;79930;22186;51739;0;3046;2451;153;355
05;166;Warburg;29523;26531;482;26049;6189;17853;0;1026;809;49;123
05;167;Wiedenbrück;107724;97588;1534;96054;32315;55292;0;5155;2707;235;350
05;168;Bochum, Stadt;244655;215243;2890;212353;123679;71190;0;9065;6229;1485;705
05;169;Castrop-Rauxel, Stadt;57227;50560;1048;49512;28220;17953;0;1551;1168;515;105
05;170;Dortmund, Stadt;454343;396175;4573;391602;229873;127855;0;17715;11443;3379;1337
05;171;Hagen, Stadt;139253;119907;2122;117785;61615;42910;0;7307;4240;1396;317
05;172;Hamm, Stadt;59265;51558;893;50665;22265;23773;0;2460;1714;291;162
05;173;Herne, Stadt;73987;65561;1326;64235;36824;22452;0;2335;1466;1047;111
