© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 1957 nach kreisfreien Städten und Landkreisen – Zweitstimmen –;;;;;;;;;;;;;;
(Die Briefwahl ist nicht in den Kreisergebnissen enthalten, sondern wurde extra ausgewiesen.);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Land;Lfd. Nr.;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;CSU;F.D.P.;DP;FU;GB/BHE;Sonstige
03;063;Rotenburg (Hannover);34118;29009;1032;27977;9124;6886;0;1221;7472;77;2582;615
03;064;Stade;86974;72752;2761;69991;17393;21774;0;3736;19853;45;6027;1163
03;065;Verden;54439;45801;1687;44114;15306;13956;0;1500;8646;36;3670;1000
03;066;Wesermünde;47365;40551;1610;38941;9259;11024;0;1435;12637;18;3778;790
03;067;Osnabrück, Stadt;93124;78213;2144;76069;34918;24723;0;4678;6037;1168;3257;1288
03;068;Aschendorf-Hümmling;40326;35365;936;34429;28871;3204;0;188;784;294;950;138
03;069;Bersenbrück;53337;46168;1506;44662;22566;12563;0;1922;2918;1042;2961;690
03;070;Grafschaft Bentheim;61204;51702;1580;50122;23952;14227;0;2636;4928;73;2009;2297
03;071;Lingen;40953;36496;1086;35410;25680;5292;0;501;733;1551;1486;167
03;072;Melle;27242;23439;608;22831;8958;6636;0;926;3046;47;2437;781
03;073;Meppen;36927;32541;760;31781;24419;3426;0;257;819;780;1827;253
03;074;Osnabrück;76946;67729;2156;65573;36399;16197;0;1990;3281;1364;5580;762
03;075;Wittlage;18607;15681;472;15209;5608;3789;0;788;2931;73;1372;648
03;076;Emden, Stadt;29620;24286;668;23618;7088;12524;0;1434;1376;9;611;576
03;077;Aurich (Ostfriesland);46262;34964;995;33969;13416;14598;0;1381;1908;12;1686;968
03;078;Leer;80923;64106;1911;62195;30079;23888;0;2546;1936;45;2368;1333
03;079;Norden;49011;39730;1481;38249;11394;19446;0;2209;2380;6;1812;1002
03;080;Wittmund;33057;24381;1056;23325;10263;6455;0;2705;1881;17;1461;543
03;081;Braunschweig, Stadt;181185;148048;3436;144612;57778;58597;0;9433;10920;137;5069;2678
03;082;Goslar, Stadt;29085;24036;832;23204;12475;6391;0;990;1709;10;1132;497
03;083;Salzgitter, Stadt;68069;58709;2007;56702;30138;17192;0;1798;2249;21;4283;1021
03;084;Blankenburg;10345;8853;289;8564;3470;3431;0;574;330;5;624;130
03;085;Braunschweig;45311;39798;1333;38465;13079;12982;0;1809;4337;12;4938;1308
03;086;Gandersheim;55185;48595;1579;47016;17836;18795;0;2177;3625;13;3464;1106
03;087;Goslar;29405;26049;935;25114;10689;9158;0;484;1733;17;2616;417
03;088;Helmstedt;82950;72824;2473;70351;33116;22738;0;2317;4803;34;5966;1377
03;089;Wolfenbüttel;94003;80165;2300;77865;34944;26995;0;3156;5718;47;5391;1614
03;090;Delmenhorst, Stadt;38147;32382;1362;31020;12120;12847;0;1614;1116;13;2226;1084
03;091;Oldenburg (Oldenburg), Stadt;82084;67367;1847;65520;25606;17887;0;7439;4547;23;5618;4400
03;092;Wilhelmshaven, Stadt;68111;57707;1556;56151;23024;25538;0;3483;1912;14;1118;1062
