county_name,voters_eligible,voters,votes_valid,cdu,spd,fdp,aud,gdp,adf_dfu,dg,drp_npd,election_year,first_second_vote,key_state,key_district,key_county,key_municipality
Ludwigshafen am Rhein,115180,99041,97858,35144,54861,3684,,,1074,,3095,1969,first,07,3,14,000
Ludwigshafen am Rhein,115180,99041,97711,34801,53618,4742,,,993,,3557,1969,second,07,3,14,000
Mainz,111222,97999,95560,40571,46323,4858,,,980,,2828,1969,first,07,3,15,000
Mainz,111222,97999,96974,38946,46666,6694,,,1047,,3621,1969,second,07,3,15,000
Neustadt an der Weinstraße,35610,31571,30959,14756,2589,1443,,,303,,1868,1969,first,07,3,16,000
Neustadt an der Weinstraße,35610,31571,31012,14309,12603,1823,,,293,,1984,1969,second,07,3,16,000
Pirmasens,39545,32809,32217,13149,14249,1802,,,403,,2614,1969,first,07,3,17,000
Pirmasens,39545,32809,32043,13144,13664,1939,,,407,,2289,1969,second,07,3,17,000
Speyer,28017,24400,23981,10846,10704,1204,,,286,,941,1969,first,07,3,18,000
Speyer,28017,24400,23965,10545,1071,1373,,,272,,1058,1969,second,07,3,18,000
Trier,70907,58815,57365,29444,23172,2508,,,294,,1947,1969,first,07,2,11,000
Trier,70907,58815,57635,29753,22229,3108,,,276,,2269,1969,second,07,2,11,000
Worms,52753,45872,45043,17632,22368,1992,,,572,,2479,1969,first,07,3,19,000
Worms,52753,45872,45132,17061,22071,2739,,,587,,2674,1969,second,07,3,19,000
Zweibrücken,22575,19053,18764,6932,8831,1304,,,151,,1546,1969,first,07,3,20,000
Zweibrücken,22575,19053,18665,6792,8548,1500,,,150,,1675,1969,second,07,3,20,000
